"","CHROM","BIN_START","N_SNPS","TajimaD","uniqseq","Pop","NUM"
"3821","TRINITY_DN24358_c0_g1_i1 "," 0",0,NA,"TRINITY_DN24358_c0_g1_i1 - 0","Indonesia",4
"56","TRINITY_DN28343_c0_g1_i1","0",2,0.226149,"TRINITY_DN28343_c0_g1_i1 - 0","Indonesia",5
"114","TRINITY_DN33929_c0_g3_i1","0",1,-1.15524,"TRINITY_DN33929_c0_g3_i1 - 0","Indonesia",6
"128","TRINITY_DN34728_c1_g1_i1","0",2,-0.437643,"TRINITY_DN34728_c1_g1_i1 - 0","Indonesia",7
"419","TRINITY_DN35673_c1_g2_i2 "," 0",0,NA,"TRINITY_DN35673_c1_g2_i2 - 0","Indonesia",8
"148","TRINITY_DN35709_c0_g2_i1","0",1,-0.341438,"TRINITY_DN35709_c0_g2_i1 - 0","Indonesia",9
"420","TRINITY_DN35710_c0_g1_i1 "," 0",0,NA,"TRINITY_DN35710_c0_g1_i1 - 0","Indonesia",10
"179","TRINITY_DN36584_c0_g1_i1","0",1,-0.341438,"TRINITY_DN36584_c0_g1_i1 - 0","Indonesia",11
"184","TRINITY_DN36805_c1_g1_i1","0",3,0.183813,"TRINITY_DN36805_c1_g1_i1 - 0","Indonesia",12
"192","TRINITY_DN37204_c0_g1_i1","0",2,1.31667,"TRINITY_DN37204_c0_g1_i1 - 0","Indonesia",13
"209","TRINITY_DN37469_c0_g3_i1","0",3,0.897021,"TRINITY_DN37469_c0_g3_i1 - 0","Indonesia",14
"220","TRINITY_DN37870_c0_g1_i1","0",1,0.842275,"TRINITY_DN37870_c0_g1_i1 - 0","Indonesia",15
"443","TRINITY_DN38348_c0_g1_i1 "," 0",0,NA,"TRINITY_DN38348_c0_g1_i1 - 0","Indonesia",16
"236","TRINITY_DN38348_c0_g2_i1","0",1,1.43413,"TRINITY_DN38348_c0_g2_i1 - 0","Indonesia",17
"251","TRINITY_DN38750_c0_g1_i1","0",3,-0.244111,"TRINITY_DN38750_c0_g1_i1 - 0","Indonesia",18
"260","TRINITY_DN39050_c0_g3_i1","0",11,-1.61237,"TRINITY_DN39050_c0_g3_i1 - 0","Indonesia",19
"451","TRINITY_DN39216_c0_g1_i1 "," 0",0,NA,"TRINITY_DN39216_c0_g1_i1 - 0","Indonesia",20
"466","TRINITY_DN40393_c0_g2_i1 "," 0",0,NA,"TRINITY_DN40393_c0_g2_i1 - 0","Indonesia",21
"3271","TRINITY_DN40479_c0_g2_i1","0",5,1.78887,"TRINITY_DN40479_c0_g2_i1 - 0","Indonesia",22
"334","TRINITY_DN4487_c0_g2_i1","0",1,-0.341438,"TRINITY_DN4487_c0_g2_i1 - 0","Indonesia",23
"347","TRINITY_DN58176_c0_g1_i1","0",2,-0.959194,"TRINITY_DN58176_c0_g1_i1 - 0","Indonesia",24
"9","TRINITY_DN14997_c0_g1_i1","0",3,-1.46433,"TRINITY_DN14997_c0_g1_i1 - 0","All",1
"24","TRINITY_DN20701_c0_g1_i1","0",3,0.0844715,"TRINITY_DN20701_c0_g1_i1 - 0","All",2
"34","TRINITY_DN22229_c0_g1_i1","0",3,-0.149738,"TRINITY_DN22229_c0_g1_i1 - 0","All",3
"42","TRINITY_DN24358_c0_g1_i1","0",2,-0.0716669,"TRINITY_DN24358_c0_g1_i1 - 0","All",4
"72","TRINITY_DN28343_c0_g1_i1","0",4,0.514476,"TRINITY_DN28343_c0_g1_i1 - 0","All",5
"152","TRINITY_DN33929_c0_g3_i1","0",1,-0.871907,"TRINITY_DN33929_c0_g3_i1 - 0","All",6
"171","TRINITY_DN34728_c1_g1_i1","0",2,-0.870792,"TRINITY_DN34728_c1_g1_i1 - 0","All",7
"194","TRINITY_DN35673_c1_g2_i2","0",1,1.32891,"TRINITY_DN35673_c1_g2_i2 - 0","All",8
"195","TRINITY_DN35709_c0_g2_i1","0",5,-0.589142,"TRINITY_DN35709_c0_g2_i1 - 0","All",9
"196","TRINITY_DN35710_c0_g1_i1","0",1,-0.439604,"TRINITY_DN35710_c0_g1_i1 - 0","All",10
"233","TRINITY_DN36584_c0_g1_i1","0",4,0.636844,"TRINITY_DN36584_c0_g1_i1 - 0","All",11
"239","TRINITY_DN36805_c1_g1_i1","0",5,0.770157,"TRINITY_DN36805_c1_g1_i1 - 0","All",12
"253","TRINITY_DN37204_c0_g1_i1","0",3,1.1019,"TRINITY_DN37204_c0_g1_i1 - 0","All",13
"273","TRINITY_DN37469_c0_g3_i1","0",5,-0.160263,"TRINITY_DN37469_c0_g3_i1 - 0","All",14
"285","TRINITY_DN37870_c0_g1_i1","0",1,1.68261,"TRINITY_DN37870_c0_g1_i1 - 0","All",15
"306","TRINITY_DN38348_c0_g1_i1","0",1,-1.1028,"TRINITY_DN38348_c0_g1_i1 - 0","All",16
"307","TRINITY_DN38348_c0_g2_i1","0",1,1.60401,"TRINITY_DN38348_c0_g2_i1 - 0","All",17
"326","TRINITY_DN38750_c0_g1_i1","0",5,-0.243558,"TRINITY_DN38750_c0_g1_i1 - 0","All",18
"336","TRINITY_DN39050_c0_g3_i1","0",17,-1.34143,"TRINITY_DN39050_c0_g3_i1 - 0","All",19
"346","TRINITY_DN39216_c0_g1_i1","0",1,-1.1028,"TRINITY_DN39216_c0_g1_i1 - 0","All",20
"416","TRINITY_DN40393_c0_g2_i1","0",1,-1.1028,"TRINITY_DN40393_c0_g2_i1 - 0","All",21
"421","TRINITY_DN40479_c0_g2_i1","0",8,1.01786,"TRINITY_DN40479_c0_g2_i1 - 0","All",22
"438","TRINITY_DN4487_c0_g2_i1","0",1,1.70718,"TRINITY_DN4487_c0_g2_i1 - 0","All",23
"463","TRINITY_DN58176_c0_g1_i1","0",4,-0.655278,"TRINITY_DN58176_c0_g1_i1 - 0","All",24
