Markers,Contig,Japan,Status,Population
4236,TRINITY_DN13302_c0_g1_i1_475,1,Non-Outlier,Philippines
8448,TRINITY_DN13302_c0_g1_i1_475,0.928571429,Non-Outlier,Indonesia
25,TRINITY_DN13619_c0_g1_i1_361,1,Non-Outlier,Japan
4237,TRINITY_DN13619_c0_g1_i1_361,0.9,Non-Outlier,Philippines
8449,TRINITY_DN13619_c0_g1_i1_361,1,Non-Outlier,Indonesia
26,TRINITY_DN13619_c0_g1_i1_364,0.875,Non-Outlier,Japan
4238,TRINITY_DN13619_c0_g1_i1_364,0.9,Non-Outlier,Philippines
8450,TRINITY_DN13619_c0_g1_i1_364,0.785714286,Non-Outlier,Indonesia
27,TRINITY_DN13619_c0_g1_i1_440,1,Non-Outlier,Japan
4239,TRINITY_DN13619_c0_g1_i1_440,0.85,Non-Outlier,Philippines
8451,TRINITY_DN13619_c0_g1_i1_440,1,Non-Outlier,Indonesia
28,TRINITY_DN13619_c0_g1_i1_481,0.875,Non-Outlier,Japan
4240,TRINITY_DN13619_c0_g1_i1_481,0.95,Non-Outlier,Philippines
8452,TRINITY_DN13619_c0_g1_i1_481,0.857142857,Non-Outlier,Indonesia
29,TRINITY_DN13619_c0_g1_i1_605,0.6875,Non-Outlier,Japan
4241,TRINITY_DN13619_c0_g1_i1_605,0.55,Non-Outlier,Philippines
8453,TRINITY_DN13619_c0_g1_i1_605,0.714285714,Non-Outlier,Indonesia
30,TRINITY_DN13619_c0_g1_i1_649,0.8125,Non-Outlier,Japan
4242,TRINITY_DN13619_c0_g1_i1_649,0.85,Non-Outlier,Philippines
8454,TRINITY_DN13619_c0_g1_i1_649,0.785714286,Non-Outlier,Indonesia
31,TRINITY_DN14445_c0_g1_i1_139,1,Non-Outlier,Japan
4243,TRINITY_DN14445_c0_g1_i1_139,0.9,Non-Outlier,Philippines
8455,TRINITY_DN14445_c0_g1_i1_139,0.928571429,Non-Outlier,Indonesia
32,TRINITY_DN14590_c0_g1_i1_124,1,Non-Outlier,Japan
4244,TRINITY_DN14590_c0_g1_i1_124,0.85,Non-Outlier,Philippines
8456,TRINITY_DN14590_c0_g1_i1_124,0.928571429,Non-Outlier,Indonesia
33,TRINITY_DN14590_c0_g1_i1_135,0.125,Non-Outlier,Japan
4245,TRINITY_DN14590_c0_g1_i1_135,0.05,Non-Outlier,Philippines
8457,TRINITY_DN14590_c0_g1_i1_135,0.071428571,Non-Outlier,Indonesia
34,TRINITY_DN14590_c0_g1_i1_242,0.8125,Non-Outlier,Japan
4246,TRINITY_DN14590_c0_g1_i1_242,0.75,Non-Outlier,Philippines
8458,TRINITY_DN14590_c0_g1_i1_242,0.714285714,Non-Outlier,Indonesia
35,TRINITY_DN14590_c0_g1_i1_373,1,Non-Outlier,Japan
4247,TRINITY_DN14590_c0_g1_i1_373,0.9,Non-Outlier,Philippines
8459,TRINITY_DN14590_c0_g1_i1_373,1,Non-Outlier,Indonesia
38,TRINITY_DN14742_c0_g1_i1_1118,0.25,Non-Outlier,Japan
4250,TRINITY_DN14742_c0_g1_i1_1118,0.05,Non-Outlier,Philippines
8462,TRINITY_DN14742_c0_g1_i1_1118,0.071428571,Non-Outlier,Indonesia
36,TRINITY_DN14742_c0_g1_i1_947,0.625,Non-Outlier,Japan
4248,TRINITY_DN14742_c0_g1_i1_947,0.35,Non-Outlier,Philippines
8460,TRINITY_DN14742_c0_g1_i1_947,0.285714286,Non-Outlier,Indonesia
37,TRINITY_DN14742_c0_g1_i1_992,1,Non-Outlier,Japan
4249,TRINITY_DN14742_c0_g1_i1_992,0.75,Non-Outlier,Philippines
8461,TRINITY_DN14742_c0_g1_i1_992,0.714285714,Non-Outlier,Indonesia
45,TRINITY_DN14997_c0_g1_i1_1063,1,Non-Outlier,Japan
4257,TRINITY_DN14997_c0_g1_i1_1063,0.85,Non-Outlier,Philippines
8469,TRINITY_DN14997_c0_g1_i1_1063,0.928571429,Non-Outlier,Indonesia
46,TRINITY_DN14997_c0_g1_i1_1088,1,Non-Outlier,Japan
4258,TRINITY_DN14997_c0_g1_i1_1088,0.75,Non-Outlier,Philippines
8470,TRINITY_DN14997_c0_g1_i1_1088,0.785714286,Non-Outlier,Indonesia
40,TRINITY_DN14997_c0_g1_i1_116,0.8125,Non-Outlier,Japan
4252,TRINITY_DN14997_c0_g1_i1_116,0.45,Non-Outlier,Philippines
8464,TRINITY_DN14997_c0_g1_i1_116,0.428571429,Non-Outlier,Indonesia
47,TRINITY_DN14997_c0_g1_i1_1360,1,Non-Outlier,Japan
4259,TRINITY_DN14997_c0_g1_i1_1360,0.75,Non-Outlier,Philippines
8471,TRINITY_DN14997_c0_g1_i1_1360,0.785714286,Non-Outlier,Indonesia
48,TRINITY_DN14997_c0_g1_i1_1572,1,Non-Outlier,Japan
4260,TRINITY_DN14997_c0_g1_i1_1572,0.7,Non-Outlier,Philippines
8472,TRINITY_DN14997_c0_g1_i1_1572,0.785714286,Non-Outlier,Indonesia
43,TRINITY_DN14997_c0_g1_i1_479,1,Non-Outlier,Japan
4255,TRINITY_DN14997_c0_g1_i1_479,0.9,Non-Outlier,Philippines
8467,TRINITY_DN14997_c0_g1_i1_479,0.928571429,Non-Outlier,Indonesia
44,TRINITY_DN14997_c0_g1_i1_720,1,Non-Outlier,Japan
4256,TRINITY_DN14997_c0_g1_i1_720,1,Non-Outlier,Philippines
8468,TRINITY_DN14997_c0_g1_i1_720,0.857142857,Non-Outlier,Indonesia
55,TRINITY_DN15447_c0_g1_i1_1515,0.9375,Non-Outlier,Japan
4267,TRINITY_DN15447_c0_g1_i1_1515,0.9,Non-Outlier,Philippines
8479,TRINITY_DN15447_c0_g1_i1_1515,1,Non-Outlier,Indonesia
49,TRINITY_DN15447_c0_g1_i1_318,0.8125,Non-Outlier,Japan
4261,TRINITY_DN15447_c0_g1_i1_318,0.5,Non-Outlier,Philippines
8473,TRINITY_DN15447_c0_g1_i1_318,0.642857143,Non-Outlier,Indonesia
50,TRINITY_DN15447_c0_g1_i1_944,1,Non-Outlier,Japan
4262,TRINITY_DN15447_c0_g1_i1_944,0.9,Non-Outlier,Philippines
8474,TRINITY_DN15447_c0_g1_i1_944,1,Non-Outlier,Indonesia
51,TRINITY_DN15447_c0_g1_i1_945,1,Non-Outlier,Japan
4263,TRINITY_DN15447_c0_g1_i1_945,0.9,Non-Outlier,Philippines
8475,TRINITY_DN15447_c0_g1_i1_945,1,Non-Outlier,Indonesia
52,TRINITY_DN15447_c0_g1_i1_948,1,Non-Outlier,Japan
4264,TRINITY_DN15447_c0_g1_i1_948,0.9,Non-Outlier,Philippines
8476,TRINITY_DN15447_c0_g1_i1_948,1,Non-Outlier,Indonesia
53,TRINITY_DN15447_c0_g1_i1_954,1,Non-Outlier,Japan
4265,TRINITY_DN15447_c0_g1_i1_954,0.9,Non-Outlier,Philippines
8477,TRINITY_DN15447_c0_g1_i1_954,1,Non-Outlier,Indonesia
54,TRINITY_DN15447_c0_g1_i1_960,1,Non-Outlier,Japan
4266,TRINITY_DN15447_c0_g1_i1_960,0.9,Non-Outlier,Philippines
8478,TRINITY_DN15447_c0_g1_i1_960,1,Non-Outlier,Indonesia
56,TRINITY_DN16185_c0_g2_i1_138,0.875,Non-Outlier,Japan
4268,TRINITY_DN16185_c0_g2_i1_138,0.6,Non-Outlier,Philippines
8480,TRINITY_DN16185_c0_g2_i1_138,0.785714286,Non-Outlier,Indonesia
57,TRINITY_DN16266_c0_g1_i1_324,0.0625,Non-Outlier,Japan
4269,TRINITY_DN16266_c0_g1_i1_324,0.05,Non-Outlier,Philippines
8481,TRINITY_DN16266_c0_g1_i1_324,0,Non-Outlier,Indonesia
58,TRINITY_DN16806_c0_g1_i1_512,0.875,Non-Outlier,Japan
4270,TRINITY_DN16806_c0_g1_i1_512,1,Non-Outlier,Philippines
8482,TRINITY_DN16806_c0_g1_i1_512,0.857142857,Non-Outlier,Indonesia
59,TRINITY_DN16806_c0_g1_i1_542,0.9375,Non-Outlier,Japan
4271,TRINITY_DN16806_c0_g1_i1_542,0.55,Non-Outlier,Philippines
8483,TRINITY_DN16806_c0_g1_i1_542,0.5,Non-Outlier,Indonesia
60,TRINITY_DN16806_c0_g1_i1_581,1,Non-Outlier,Japan
4272,TRINITY_DN16806_c0_g1_i1_581,0.85,Non-Outlier,Philippines
8484,TRINITY_DN16806_c0_g1_i1_581,0.785714286,Non-Outlier,Indonesia
61,TRINITY_DN16999_c0_g1_i1_143,0.875,Non-Outlier,Japan
4273,TRINITY_DN16999_c0_g1_i1_143,0.9,Non-Outlier,Philippines
8485,TRINITY_DN16999_c0_g1_i1_143,0.857142857,Non-Outlier,Indonesia
62,TRINITY_DN16999_c0_g1_i1_205,1,Non-Outlier,Japan
4274,TRINITY_DN16999_c0_g1_i1_205,0.9,Non-Outlier,Philippines
8486,TRINITY_DN16999_c0_g1_i1_205,0.928571429,Non-Outlier,Indonesia
63,TRINITY_DN16999_c0_g1_i1_232,0.875,Non-Outlier,Japan
4275,TRINITY_DN16999_c0_g1_i1_232,0.85,Non-Outlier,Philippines
8487,TRINITY_DN16999_c0_g1_i1_232,0.928571429,Non-Outlier,Indonesia
64,TRINITY_DN16999_c0_g1_i1_249,1,Non-Outlier,Japan
4276,TRINITY_DN16999_c0_g1_i1_249,0.9,Non-Outlier,Philippines
8488,TRINITY_DN16999_c0_g1_i1_249,1,Non-Outlier,Indonesia
65,TRINITY_DN16999_c0_g1_i1_253,0.125,Non-Outlier,Japan
4277,TRINITY_DN16999_c0_g1_i1_253,0,Non-Outlier,Philippines
8489,TRINITY_DN16999_c0_g1_i1_253,0,Non-Outlier,Indonesia
66,TRINITY_DN16999_c0_g1_i1_483,0.9375,Non-Outlier,Japan
4278,TRINITY_DN16999_c0_g1_i1_483,0.9,Non-Outlier,Philippines
8490,TRINITY_DN16999_c0_g1_i1_483,0.928571429,Non-Outlier,Indonesia
67,TRINITY_DN16999_c0_g1_i1_714,0.9375,Non-Outlier,Japan
4279,TRINITY_DN16999_c0_g1_i1_714,0.9,Non-Outlier,Philippines
8491,TRINITY_DN16999_c0_g1_i1_714,1,Non-Outlier,Indonesia
68,TRINITY_DN16999_c0_g1_i1_723,0.9375,Non-Outlier,Japan
4280,TRINITY_DN16999_c0_g1_i1_723,1,Non-Outlier,Philippines
8492,TRINITY_DN16999_c0_g1_i1_723,0.928571429,Non-Outlier,Indonesia
69,TRINITY_DN16999_c0_g1_i1_740,0.125,Non-Outlier,Japan
4281,TRINITY_DN16999_c0_g1_i1_740,0,Non-Outlier,Philippines
8493,TRINITY_DN16999_c0_g1_i1_740,0,Non-Outlier,Indonesia
72,TRINITY_DN17505_c0_g1_i1_490,0.8125,Non-Outlier,Japan
4284,TRINITY_DN17505_c0_g1_i1_490,0.8,Non-Outlier,Philippines
8496,TRINITY_DN17505_c0_g1_i1_490,0.857142857,Non-Outlier,Indonesia
73,TRINITY_DN17505_c0_g1_i1_522,0.5,Non-Outlier,Japan
4285,TRINITY_DN17505_c0_g1_i1_522,0.5,Non-Outlier,Philippines
8497,TRINITY_DN17505_c0_g1_i1_522,0.428571429,Non-Outlier,Indonesia
70,TRINITY_DN17505_c0_g1_i1_58,0.6875,Non-Outlier,Japan
4282,TRINITY_DN17505_c0_g1_i1_58,0.55,Non-Outlier,Philippines
8494,TRINITY_DN17505_c0_g1_i1_58,0.285714286,Non-Outlier,Indonesia
71,TRINITY_DN17505_c0_g1_i1_85,0.9375,Non-Outlier,Japan
4283,TRINITY_DN17505_c0_g1_i1_85,0.55,Non-Outlier,Philippines
8495,TRINITY_DN17505_c0_g1_i1_85,0.5,Non-Outlier,Indonesia
74,TRINITY_DN17975_c1_g1_i1_400,0.75,Non-Outlier,Japan
4286,TRINITY_DN17975_c1_g1_i1_400,0.55,Non-Outlier,Philippines
8498,TRINITY_DN17975_c1_g1_i1_400,0.785714286,Non-Outlier,Indonesia
75,TRINITY_DN17975_c1_g1_i1_476,0.5625,Non-Outlier,Japan
4287,TRINITY_DN17975_c1_g1_i1_476,0.7,Non-Outlier,Philippines
8499,TRINITY_DN17975_c1_g1_i1_476,0.5,Non-Outlier,Indonesia
76,TRINITY_DN17975_c1_g1_i1_581,1,Non-Outlier,Japan
4288,TRINITY_DN17975_c1_g1_i1_581,0.9,Non-Outlier,Philippines
8500,TRINITY_DN17975_c1_g1_i1_581,1,Non-Outlier,Indonesia
77,TRINITY_DN17975_c1_g1_i1_596,0.9375,Non-Outlier,Japan
4289,TRINITY_DN17975_c1_g1_i1_596,0.95,Non-Outlier,Philippines
8501,TRINITY_DN17975_c1_g1_i1_596,0.928571429,Non-Outlier,Indonesia
78,TRINITY_DN17975_c1_g1_i1_629,0.125,Non-Outlier,Japan
4290,TRINITY_DN17975_c1_g1_i1_629,0,Non-Outlier,Philippines
8502,TRINITY_DN17975_c1_g1_i1_629,0,Non-Outlier,Indonesia
80,TRINITY_DN18246_c0_g1_i1_118,0.875,Non-Outlier,Japan
4292,TRINITY_DN18246_c0_g1_i1_118,0.85,Non-Outlier,Philippines
8504,TRINITY_DN18246_c0_g1_i1_118,1,Non-Outlier,Indonesia
79,TRINITY_DN18246_c0_g1_i1_65,1,Non-Outlier,Japan
4291,TRINITY_DN18246_c0_g1_i1_65,0.9,Non-Outlier,Philippines
8503,TRINITY_DN18246_c0_g1_i1_65,1,Non-Outlier,Indonesia
81,TRINITY_DN18288_c0_g2_i1_481,1,Non-Outlier,Japan
4293,TRINITY_DN18288_c0_g2_i1_481,0.9,Non-Outlier,Philippines
8505,TRINITY_DN18288_c0_g2_i1_481,0.928571429,Non-Outlier,Indonesia
82,TRINITY_DN18415_c0_g1_i1_627,1,Non-Outlier,Japan
4294,TRINITY_DN18415_c0_g1_i1_627,0.9,Non-Outlier,Philippines
8506,TRINITY_DN18415_c0_g1_i1_627,1,Non-Outlier,Indonesia
83,TRINITY_DN18768_c0_g1_i1_306,0.1875,Non-Outlier,Japan
4295,TRINITY_DN18768_c0_g1_i1_306,0,Non-Outlier,Philippines
8507,TRINITY_DN18768_c0_g1_i1_306,0,Non-Outlier,Indonesia
84,TRINITY_DN18768_c0_g1_i1_351,1,Non-Outlier,Japan
4296,TRINITY_DN18768_c0_g1_i1_351,0.7,Non-Outlier,Philippines
8508,TRINITY_DN18768_c0_g1_i1_351,0.857142857,Non-Outlier,Indonesia
85,TRINITY_DN18768_c0_g1_i1_482,1,Non-Outlier,Japan
4297,TRINITY_DN18768_c0_g1_i1_482,1,Non-Outlier,Philippines
8509,TRINITY_DN18768_c0_g1_i1_482,0.857142857,Non-Outlier,Indonesia
86,TRINITY_DN18768_c0_g1_i1_652,0.8125,Non-Outlier,Japan
4298,TRINITY_DN18768_c0_g1_i1_652,0.7,Non-Outlier,Philippines
8510,TRINITY_DN18768_c0_g1_i1_652,0.642857143,Non-Outlier,Indonesia
87,TRINITY_DN18768_c0_g1_i1_697,0.125,Non-Outlier,Japan
4299,TRINITY_DN18768_c0_g1_i1_697,0.05,Non-Outlier,Philippines
8511,TRINITY_DN18768_c0_g1_i1_697,0,Non-Outlier,Indonesia
89,TRINITY_DN19476_c0_g1_i1_224,0.0625,Non-Outlier,Japan
4301,TRINITY_DN19476_c0_g1_i1_224,0.05,Non-Outlier,Philippines
8513,TRINITY_DN19476_c0_g1_i1_224,0,Non-Outlier,Indonesia
90,TRINITY_DN19476_c0_g1_i1_296,0.9375,Non-Outlier,Japan
4302,TRINITY_DN19476_c0_g1_i1_296,0.85,Non-Outlier,Philippines
8514,TRINITY_DN19476_c0_g1_i1_296,0.928571429,Non-Outlier,Indonesia
88,TRINITY_DN19476_c0_g1_i1_87,1,Non-Outlier,Japan
4300,TRINITY_DN19476_c0_g1_i1_87,0.9,Non-Outlier,Philippines
8512,TRINITY_DN19476_c0_g1_i1_87,0.928571429,Non-Outlier,Indonesia
91,TRINITY_DN19557_c0_g1_i1_200,0.3125,Non-Outlier,Japan
4303,TRINITY_DN19557_c0_g1_i1_200,0.2,Non-Outlier,Philippines
8515,TRINITY_DN19557_c0_g1_i1_200,0.071428571,Non-Outlier,Indonesia
92,TRINITY_DN19557_c0_g1_i1_530,0.5,Non-Outlier,Japan
4304,TRINITY_DN19557_c0_g1_i1_530,0.3,Non-Outlier,Philippines
8516,TRINITY_DN19557_c0_g1_i1_530,0.285714286,Non-Outlier,Indonesia
93,TRINITY_DN19557_c0_g1_i1_566,0.8125,Non-Outlier,Japan
4305,TRINITY_DN19557_c0_g1_i1_566,0.8,Non-Outlier,Philippines
8517,TRINITY_DN19557_c0_g1_i1_566,0.928571429,Non-Outlier,Indonesia
94,TRINITY_DN19604_c0_g1_i1_144,1,Non-Outlier,Japan
4306,TRINITY_DN19604_c0_g1_i1_144,0.9,Non-Outlier,Philippines
8518,TRINITY_DN19604_c0_g1_i1_144,1,Non-Outlier,Indonesia
95,TRINITY_DN19739_c0_g1_i1_907,1,Non-Outlier,Japan
4307,TRINITY_DN19739_c0_g1_i1_907,0.9,Non-Outlier,Philippines
8519,TRINITY_DN19739_c0_g1_i1_907,1,Non-Outlier,Indonesia
96,TRINITY_DN19834_c0_g1_i1_117,1,Non-Outlier,Japan
4308,TRINITY_DN19834_c0_g1_i1_117,1,Non-Outlier,Philippines
8520,TRINITY_DN19834_c0_g1_i1_117,0.857142857,Non-Outlier,Indonesia
97,TRINITY_DN19928_c0_g1_i1_592,1,Non-Outlier,Japan
4309,TRINITY_DN19928_c0_g1_i1_592,0.95,Non-Outlier,Philippines
8521,TRINITY_DN19928_c0_g1_i1_592,0.928571429,Non-Outlier,Indonesia
98,TRINITY_DN19985_c0_g1_i1_572,0.125,Non-Outlier,Japan
4310,TRINITY_DN19985_c0_g1_i1_572,0,Non-Outlier,Philippines
8522,TRINITY_DN19985_c0_g1_i1_572,0,Non-Outlier,Indonesia
99,TRINITY_DN19985_c0_g1_i1_617,1,Non-Outlier,Japan
4311,TRINITY_DN19985_c0_g1_i1_617,0.9,Non-Outlier,Philippines
8523,TRINITY_DN19985_c0_g1_i1_617,1,Non-Outlier,Indonesia
100,TRINITY_DN19985_c0_g1_i1_671,0.125,Non-Outlier,Japan
4312,TRINITY_DN19985_c0_g1_i1_671,0,Non-Outlier,Philippines
8524,TRINITY_DN19985_c0_g1_i1_671,0,Non-Outlier,Indonesia
101,TRINITY_DN19985_c0_g1_i1_806,1,Non-Outlier,Japan
4313,TRINITY_DN19985_c0_g1_i1_806,0.85,Non-Outlier,Philippines
8525,TRINITY_DN19985_c0_g1_i1_806,0.714285714,Non-Outlier,Indonesia
102,TRINITY_DN19985_c0_g1_i1_866,1,Non-Outlier,Japan
4314,TRINITY_DN19985_c0_g1_i1_866,0.9,Non-Outlier,Philippines
8526,TRINITY_DN19985_c0_g1_i1_866,1,Non-Outlier,Indonesia
103,TRINITY_DN19985_c0_g1_i1_875,1,Non-Outlier,Japan
4315,TRINITY_DN19985_c0_g1_i1_875,0.85,Non-Outlier,Philippines
8527,TRINITY_DN19985_c0_g1_i1_875,0.714285714,Non-Outlier,Indonesia
104,TRINITY_DN19985_c0_g1_i1_971,1,Non-Outlier,Japan
4316,TRINITY_DN19985_c0_g1_i1_971,0.65,Non-Outlier,Philippines
8528,TRINITY_DN19985_c0_g1_i1_971,0.714285714,Non-Outlier,Indonesia
111,TRINITY_DN19985_c0_g2_i1_1024,0.25,Non-Outlier,Japan
4323,TRINITY_DN19985_c0_g2_i1_1024,0,Non-Outlier,Philippines
8535,TRINITY_DN19985_c0_g2_i1_1024,0.142857143,Non-Outlier,Indonesia
112,TRINITY_DN19985_c0_g2_i1_1039,1,Non-Outlier,Japan
4324,TRINITY_DN19985_c0_g2_i1_1039,0.9,Non-Outlier,Philippines
8536,TRINITY_DN19985_c0_g2_i1_1039,1,Non-Outlier,Indonesia
113,TRINITY_DN19985_c0_g2_i1_1103,0.5,Non-Outlier,Japan
4325,TRINITY_DN19985_c0_g2_i1_1103,0.5,Non-Outlier,Philippines
8537,TRINITY_DN19985_c0_g2_i1_1103,0.428571429,Non-Outlier,Indonesia
105,TRINITY_DN19985_c0_g2_i1_170,1,Non-Outlier,Japan
4317,TRINITY_DN19985_c0_g2_i1_170,1,Non-Outlier,Philippines
8529,TRINITY_DN19985_c0_g2_i1_170,0.857142857,Non-Outlier,Indonesia
106,TRINITY_DN19985_c0_g2_i1_218,0.125,Non-Outlier,Japan
4318,TRINITY_DN19985_c0_g2_i1_218,0,Non-Outlier,Philippines
8530,TRINITY_DN19985_c0_g2_i1_218,0,Non-Outlier,Indonesia
107,TRINITY_DN19985_c0_g2_i1_310,0.25,Non-Outlier,Japan
4319,TRINITY_DN19985_c0_g2_i1_310,0.1,Non-Outlier,Philippines
8531,TRINITY_DN19985_c0_g2_i1_310,0,Non-Outlier,Indonesia
108,TRINITY_DN19985_c0_g2_i1_388,0.125,Non-Outlier,Japan
4320,TRINITY_DN19985_c0_g2_i1_388,0,Non-Outlier,Philippines
8532,TRINITY_DN19985_c0_g2_i1_388,0,Non-Outlier,Indonesia
109,TRINITY_DN19985_c0_g2_i1_493,0.25,Non-Outlier,Japan
4321,TRINITY_DN19985_c0_g2_i1_493,0,Non-Outlier,Philippines
8533,TRINITY_DN19985_c0_g2_i1_493,0,Non-Outlier,Indonesia
110,TRINITY_DN19985_c0_g2_i1_556,1,Non-Outlier,Japan
4322,TRINITY_DN19985_c0_g2_i1_556,0.9,Non-Outlier,Philippines
8534,TRINITY_DN19985_c0_g2_i1_556,1,Non-Outlier,Indonesia
119,TRINITY_DN20031_c0_g1_i1_474,0.625,Non-Outlier,Japan
4331,TRINITY_DN20031_c0_g1_i1_474,0.65,Non-Outlier,Philippines
8543,TRINITY_DN20031_c0_g1_i1_474,0.571428571,Non-Outlier,Indonesia
120,TRINITY_DN20031_c0_g1_i1_809,1,Non-Outlier,Japan
4332,TRINITY_DN20031_c0_g1_i1_809,0.95,Non-Outlier,Philippines
8544,TRINITY_DN20031_c0_g1_i1_809,0.857142857,Non-Outlier,Indonesia
