CHROM,POS,PI
TRINITY_DN2025_c0_g1_i1,398,0.325
TRINITY_DN2025_c0_g1_i1,406,0
TRINITY_DN20031_c0_g1_i1,474,0.5
TRINITY_DN20031_c0_g1_i1,809,0
TRINITY_DN20031_c0_g1_i1,811,0.233333
TRINITY_DN20033_c0_g1_i1,320,0.233333
TRINITY_DN20033_c0_g1_i1,445,0.233333
TRINITY_DN20038_c0_g1_i1,303,0
TRINITY_DN20038_c0_g1_i1,325,0.125
TRINITY_DN20038_c0_g1_i1,389,0.125
TRINITY_DN20038_c0_g1_i1,489,0
TRINITY_DN20310_c1_g1_i1,49,0.4
TRINITY_DN20310_c1_g1_i1,718,0
TRINITY_DN20310_c1_g1_i1,820,0.125
TRINITY_DN20310_c1_g1_i1,991,0
TRINITY_DN20310_c1_g1_i1,1204,0
TRINITY_DN20310_c1_g1_i1,1285,0.325
TRINITY_DN20359_c0_g1_i1,1041,0
TRINITY_DN20359_c0_g1_i1,1458,0.525
TRINITY_DN20361_c0_g1_i1,197,0
TRINITY_DN20361_c0_g1_i1,523,0.233333
TRINITY_DN20361_c0_g1_i1,899,0.325
TRINITY_DN20361_c0_g1_i1,970,0.4
TRINITY_DN20361_c0_g1_i1,1380,0.125
TRINITY_DN20361_c0_g1_i1,1582,0
TRINITY_DN20361_c0_g1_i1,1763,0.4
TRINITY_DN20361_c0_g1_i1,1871,0
TRINITY_DN20361_c0_g1_i1,1893,0.233333
TRINITY_DN20361_c0_g1_i1,1898,0.325
TRINITY_DN20361_c0_g1_i1,1906,0.4
TRINITY_DN20361_c0_g1_i1,1926,0.325
TRINITY_DN20361_c0_g1_i1,1964,0.5
TRINITY_DN20361_c0_g1_i1,1994,0.325
TRINITY_DN20361_c0_g1_i1,1999,0.125
TRINITY_DN20361_c0_g1_i1,2067,0.325
TRINITY_DN20361_c0_g1_i1,2125,0.325
TRINITY_DN20361_c0_g1_i1,2131,0.325
TRINITY_DN20361_c0_g1_i1,2143,0.125
TRINITY_DN20361_c0_g1_i1,2170,0.325
TRINITY_DN20361_c0_g1_i1,2198,0.525
TRINITY_DN20361_c0_g1_i1,2213,0
TRINITY_DN20361_c0_g1_i1,2279,0.125
TRINITY_DN20361_c0_g1_i1,2303,0.5
TRINITY_DN20361_c0_g1_i1,2425,0.325
TRINITY_DN20361_c0_g1_i1,2456,0.233333
TRINITY_DN20397_c0_g1_i1,338,0.233333
TRINITY_DN20453_c0_g1_i1,197,0.125
TRINITY_DN20453_c0_g1_i1,240,0.458333
TRINITY_DN20453_c0_g1_i1,294,0
TRINITY_DN20475_c0_g1_i1,438,0
TRINITY_DN20475_c0_g1_i1,612,0
TRINITY_DN20475_c0_g1_i1,615,0
TRINITY_DN20475_c0_g1_i1,621,0
TRINITY_DN20502_c0_g1_i1,158,0
TRINITY_DN20502_c0_g1_i1,335,0.325
TRINITY_DN20502_c0_g1_i1,421,0.533333
TRINITY_DN20502_c0_g1_i1,468,0
TRINITY_DN20691_c0_g1_i1,83,0.4
TRINITY_DN20691_c0_g1_i1,132,0.4
TRINITY_DN20691_c0_g1_i1,140,0.4
TRINITY_DN20691_c0_g1_i1,180,0.233333
TRINITY_DN20701_c0_g1_i1,273,0
TRINITY_DN20701_c0_g1_i1,294,0.125
TRINITY_DN20973_c1_g1_i1,76,0
TRINITY_DN20973_c1_g1_i1,88,0.325
TRINITY_DN20973_c1_g1_i1,316,0.233333
TRINITY_DN20973_c1_g1_i1,361,0.533333
TRINITY_DN20973_c1_g1_i1,424,0.525
TRINITY_DN21168_c0_g1_i1,50,0
TRINITY_DN21168_c0_g1_i1,54,0
TRINITY_DN21168_c0_g1_i1,57,0.4
TRINITY_DN21168_c0_g1_i1,199,0.525
TRINITY_DN21168_c0_g1_i1,259,0.125
TRINITY_DN21168_c0_g1_i1,349,0
TRINITY_DN21168_c0_g1_i1,351,0.5
TRINITY_DN21168_c0_g1_i1,385,0
TRINITY_DN21168_c0_g1_i1,493,0.125
TRINITY_DN21168_c0_g1_i1,644,0.233333
TRINITY_DN21168_c0_g1_i1,685,0.233333
TRINITY_DN21168_c0_g1_i1,692,0.233333
TRINITY_DN21169_c0_g1_i1,177,0.125
TRINITY_DN21169_c0_g1_i1,183,0.125
TRINITY_DN21169_c0_g1_i1,186,0.125
TRINITY_DN21210_c0_g1_i1,481,0.4
TRINITY_DN21210_c0_g1_i1,747,0.5
TRINITY_DN21210_c0_g1_i1,766,0.125
TRINITY_DN21256_c0_g1_i1,152,0
TRINITY_DN21256_c0_g1_i1,439,0
TRINITY_DN21256_c0_g1_i1,453,0.125
TRINITY_DN21256_c0_g1_i1,480,0
TRINITY_DN21256_c0_g1_i1,500,0
TRINITY_DN21256_c0_g1_i1,546,0.125
TRINITY_DN21256_c0_g1_i1,652,0.233333
TRINITY_DN21256_c0_g1_i1,653,0.233333
TRINITY_DN21256_c0_g1_i1,680,0
TRINITY_DN21256_c0_g1_i1,682,0.5
TRINITY_DN21256_c0_g1_i1,685,0.5
TRINITY_DN21256_c0_g1_i1,730,0.4
TRINITY_DN21256_c0_g1_i1,790,0.525
TRINITY_DN21256_c0_g1_i1,807,0
TRINITY_DN21256_c0_g1_i1,932,0
TRINITY_DN21269_c0_g1_i1,295,0.125
TRINITY_DN21269_c0_g1_i1,300,0.125
TRINITY_DN21269_c0_g1_i1,701,0.125
TRINITY_DN21269_c0_g1_i1,719,0.125
TRINITY_DN21269_c0_g1_i1,724,0.125
TRINITY_DN21269_c0_g1_i1,827,0.125
TRINITY_DN21269_c0_g1_i1,881,0.125
TRINITY_DN21269_c0_g1_i1,959,0.325
TRINITY_DN21269_c0_g1_i1,968,0.325
TRINITY_DN21311_c0_g1_i1,1046,0.4
TRINITY_DN21388_c0_g1_i1,158,0.125
TRINITY_DN21388_c0_g1_i1,196,0.325
TRINITY_DN21388_c0_g1_i1,253,0
TRINITY_DN21414_c0_g1_i1,206,0.125
TRINITY_DN21414_c0_g1_i1,210,0.125
TRINITY_DN21414_c0_g1_i1,422,0
TRINITY_DN21414_c0_g1_i1,572,0
TRINITY_DN21452_c0_g1_i1,147,0
TRINITY_DN21452_c0_g1_i1,209,0.125
TRINITY_DN21452_c0_g1_i1,240,0.125
TRINITY_DN21452_c0_g1_i1,242,0.458333
TRINITY_DN21452_c0_g1_i1,327,0.233333
TRINITY_DN21452_c0_g1_i1,383,0.4
TRINITY_DN21471_c0_g1_i1,221,0.525
TRINITY_DN21471_c0_g1_i1,314,0.525
TRINITY_DN21471_c0_g1_i1,746,0.125
TRINITY_DN21664_c1_g1_i1,188,0
TRINITY_DN21664_c1_g1_i1,217,0.233333
TRINITY_DN21664_c1_g1_i1,221,0.125
TRINITY_DN21664_c1_g1_i1,228,0.4
TRINITY_DN21664_c1_g1_i1,312,0.233333
TRINITY_DN22048_c0_g1_i1,419,0.125
TRINITY_DN22194_c0_g1_i1,579,0.125
TRINITY_DN22194_c0_g1_i1,587,0.233333
TRINITY_DN22194_c0_g1_i1,625,0
TRINITY_DN22229_c0_g1_i1,444,0
TRINITY_DN22229_c0_g1_i1,462,0
TRINITY_DN22452_c0_g1_i1,283,0.125
TRINITY_DN22567_c0_g1_i1,220,0.125
TRINITY_DN22567_c0_g1_i1,247,0
TRINITY_DN22567_c0_g1_i1,437,0.125
TRINITY_DN22567_c0_g1_i1,481,0.125
TRINITY_DN22567_c0_g1_i1,493,0.525
TRINITY_DN22567_c0_g1_i1,541,0.125
TRINITY_DN22567_c0_g1_i1,712,0.233333
TRINITY_DN22568_c0_g1_i1,634,0
TRINITY_DN22654_c0_g1_i1,272,0.125
TRINITY_DN22708_c0_g2_i1,670,0.125
TRINITY_DN22921_c0_g1_i1,1682,0.233333
TRINITY_DN22921_c0_g1_i1,1805,0.325
TRINITY_DN22947_c0_g1_i1,505,0.233333
TRINITY_DN22947_c0_g1_i1,509,0
TRINITY_DN22947_c0_g1_i1,534,0.125
TRINITY_DN22947_c0_g1_i1,561,0
TRINITY_DN22966_c0_g1_i1,688,0
TRINITY_DN22966_c0_g1_i1,691,0.233333
TRINITY_DN22966_c0_g1_i1,696,0.233333
TRINITY_DN22966_c0_g1_i1,747,0.4
TRINITY_DN22966_c0_g1_i1,801,0
TRINITY_DN22966_c0_g1_i1,835,0.233333
TRINITY_DN23070_c0_g1_i1,448,0.525
TRINITY_DN23285_c0_g1_i1,439,0.125
TRINITY_DN23313_c0_g1_i1,73,0.125
TRINITY_DN23313_c0_g1_i1,141,0.525
TRINITY_DN23313_c0_g1_i1,191,0.325
TRINITY_DN23448_c0_g1_i1,632,0.525
TRINITY_DN23475_c0_g2_i1,575,0.458333
TRINITY_DN23517_c0_g1_i1,648,0.325
TRINITY_DN23517_c0_g1_i1,662,0
TRINITY_DN23698_c0_g1_i1,303,0.325
TRINITY_DN23698_c0_g1_i1,312,0.233333
TRINITY_DN23771_c0_g1_i1,504,0.325
TRINITY_DN24010_c0_g1_i1,266,0
TRINITY_DN24010_c0_g1_i1,344,0.125
TRINITY_DN24010_c0_g1_i1,483,0.233333
TRINITY_DN24010_c0_g1_i1,517,0.233333
TRINITY_DN24064_c0_g1_i1,926,0.233333
TRINITY_DN24303_c0_g1_i1,258,0.458333
TRINITY_DN24307_c0_g1_i1,242,0.125
TRINITY_DN24358_c0_g1_i1,454,0
TRINITY_DN24358_c0_g1_i1,616,0.458333
TRINITY_DN24358_c0_g1_i1,725,0.233333
TRINITY_DN24358_c0_g1_i1,741,0.233333
TRINITY_DN24358_c0_g1_i1,751,0.233333
TRINITY_DN24358_c0_g1_i1,815,0.233333
TRINITY_DN24358_c0_g1_i1,1168,0
TRINITY_DN24358_c0_g1_i1,1203,0.233333
TRINITY_DN24373_c0_g1_i1,203,0.125
TRINITY_DN24373_c0_g1_i1,217,0.4
TRINITY_DN24373_c1_g1_i1,253,0.458333
TRINITY_DN24452_c0_g1_i1,462,0.525
TRINITY_DN24553_c1_g1_i1,149,0.233333
TRINITY_DN24557_c0_g1_i1,191,0.125
TRINITY_DN24557_c0_g1_i1,232,0.233333
TRINITY_DN24557_c0_g1_i1,237,0.233333
TRINITY_DN24557_c0_g1_i1,302,0.325
TRINITY_DN24557_c0_g1_i1,303,0
TRINITY_DN24557_c0_g1_i1,330,0
TRINITY_DN24557_c0_g1_i1,694,0
TRINITY_DN24557_c0_g1_i1,753,0.233333
TRINITY_DN24557_c0_g1_i1,933,0
TRINITY_DN24557_c0_g1_i1,952,0.125
TRINITY_DN24557_c0_g1_i1,957,0
TRINITY_DN24557_c0_g1_i1,968,0.125
TRINITY_DN24751_c0_g1_i1,857,0
TRINITY_DN25044_c0_g1_i1,214,0.525
TRINITY_DN25044_c0_g1_i1,513,0
TRINITY_DN25044_c0_g1_i1,531,0
TRINITY_DN25044_c0_g1_i1,548,0.525
TRINITY_DN25044_c0_g1_i1,601,0
TRINITY_DN25188_c0_g2_i1,717,0.125
TRINITY_DN25188_c0_g2_i1,721,0.125
TRINITY_DN25188_c0_g2_i1,734,0.125
TRINITY_DN25188_c0_g2_i1,752,0.125
TRINITY_DN25188_c0_g2_i1,811,0
TRINITY_DN25258_c0_g1_i1,582,0.458333
TRINITY_DN25258_c0_g1_i1,590,0.4
TRINITY_DN25290_c0_g1_i1,220,0.125
TRINITY_DN25290_c0_g1_i1,367,0.233333
TRINITY_DN25290_c0_g1_i1,382,0.458333
TRINITY_DN25290_c0_g1_i1,403,0
TRINITY_DN25290_c0_g1_i1,694,0.5
TRINITY_DN25359_c0_g1_i1,224,0
TRINITY_DN25359_c0_g1_i1,272,0
TRINITY_DN25359_c0_g1_i1,284,0
TRINITY_DN25375_c0_g1_i1,66,0.233333
TRINITY_DN25375_c0_g1_i1,88,0.525
TRINITY_DN25375_c0_g1_i1,167,0.4
TRINITY_DN25375_c0_g1_i1,229,0.4
TRINITY_DN25375_c0_g1_i1,232,0.4
TRINITY_DN25375_c0_g1_i1,395,0.4
TRINITY_DN25375_c0_g1_i1,410,0.458333
TRINITY_DN25375_c0_g1_i1,427,0.125
TRINITY_DN25375_c0_g1_i1,469,0.233333
TRINITY_DN25382_c0_g1_i1,189,0.125
TRINITY_DN25382_c0_g1_i1,192,0.533333
TRINITY_DN25382_c0_g1_i1,195,0.4
TRINITY_DN25382_c0_g1_i1,209,0.4
TRINITY_DN25382_c0_g1_i1,233,0
TRINITY_DN25382_c0_g1_i1,287,0.125
TRINITY_DN25382_c0_g1_i1,302,0.233333
TRINITY_DN25382_c0_g1_i1,412,0
TRINITY_DN25382_c0_g1_i1,560,0.325
TRINITY_DN25382_c0_g1_i1,613,0.233333
TRINITY_DN25382_c0_g1_i1,671,0
TRINITY_DN25382_c0_g1_i1,741,0
TRINITY_DN25382_c0_g1_i1,742,0
TRINITY_DN25382_c0_g1_i1,895,0.325
TRINITY_DN25382_c0_g1_i1,926,0.5
TRINITY_DN25382_c0_g1_i1,984,0.4
TRINITY_DN25388_c0_g1_i1,337,0.458333
TRINITY_DN25388_c0_g1_i1,345,0.233333
TRINITY_DN25388_c0_g1_i1,372,0.233333
TRINITY_DN25388_c0_g1_i1,605,0
TRINITY_DN25388_c0_g1_i1,812,0
TRINITY_DN25525_c0_g1_i1,164,0.125
TRINITY_DN25633_c0_g1_i1,178,0
TRINITY_DN25633_c0_g1_i1,593,0
TRINITY_DN25633_c0_g1_i1,599,0
TRINITY_DN25633_c0_g1_i1,614,0
TRINITY_DN25633_c0_g1_i1,635,0
TRINITY_DN25633_c0_g1_i1,638,0
TRINITY_DN25633_c0_g1_i1,705,0.125
TRINITY_DN25633_c0_g1_i1,707,0.125
TRINITY_DN25633_c0_g1_i1,1484,0.458333
TRINITY_DN25633_c0_g1_i1,1501,0.533333
TRINITY_DN25633_c0_g1_i1,1644,0.4
TRINITY_DN25633_c0_g1_i1,1768,0
TRINITY_DN25682_c0_g1_i1,326,0
TRINITY_DN25829_c0_g1_i1,190,0.125
TRINITY_DN25829_c0_g1_i1,246,0.125
TRINITY_DN25829_c0_g1_i1,274,0.233333
TRINITY_DN25829_c0_g1_i1,403,0.125
TRINITY_DN25829_c0_g1_i1,478,0
TRINITY_DN25829_c0_g2_i1,116,0
TRINITY_DN25829_c0_g2_i1,126,0.125
TRINITY_DN25887_c0_g1_i1,459,0.325
TRINITY_DN25887_c0_g1_i1,631,0
TRINITY_DN25892_c0_g2_i1,169,0
TRINITY_DN25892_c0_g2_i1,257,0.125
TRINITY_DN25892_c0_g2_i1,388,0.233333
TRINITY_DN25892_c0_g2_i1,490,0.458333
TRINITY_DN25892_c0_g2_i1,562,0.233333
TRINITY_DN25983_c0_g1_i1,355,0.325
TRINITY_DN25983_c0_g1_i1,357,0.325
TRINITY_DN2692_c0_g2_i1,580,0
TRINITY_DN2692_c0_g2_i1,583,0
TRINITY_DN2692_c0_g2_i1,604,0
TRINITY_DN2692_c0_g2_i1,608,0
TRINITY_DN2692_c0_g2_i1,610,0
TRINITY_DN2692_c0_g2_i1,613,0
TRINITY_DN2692_c0_g2_i1,614,0
TRINITY_DN2692_c0_g2_i1,619,0
TRINITY_DN2692_c0_g2_i1,622,0
TRINITY_DN26067_c0_g1_i1,363,0.325
TRINITY_DN26067_c0_g1_i1,448,0.125
TRINITY_DN26089_c0_g2_i1,213,0
TRINITY_DN26097_c0_g1_i1,230,0.233333
TRINITY_DN26097_c0_g1_i1,231,0.4
TRINITY_DN26097_c0_g1_i1,711,0
TRINITY_DN26109_c0_g1_i1,133,0
TRINITY_DN26109_c0_g1_i1,148,0.525
TRINITY_DN26109_c0_g1_i1,169,0.458333
TRINITY_DN26117_c0_g1_i1,576,0.125
TRINITY_DN26117_c0_g1_i1,578,0.125
TRINITY_DN26117_c0_g1_i1,588,0.125
TRINITY_DN26117_c0_g1_i1,660,0.233333
TRINITY_DN26156_c0_g2_i1,136,0.233333
TRINITY_DN26156_c0_g2_i1,145,0.233333
TRINITY_DN26156_c0_g2_i1,151,0.233333
TRINITY_DN26156_c0_g2_i1,157,0.233333
TRINITY_DN26156_c0_g2_i1,160,0.233333
TRINITY_DN26156_c0_g2_i1,163,0.233333
TRINITY_DN26156_c0_g2_i1,179,0.125
TRINITY_DN26156_c0_g2_i1,181,0.125
TRINITY_DN26156_c0_g2_i1,202,0
TRINITY_DN26156_c0_g2_i1,208,0
TRINITY_DN26156_c0_g2_i1,229,0.125
TRINITY_DN26156_c0_g2_i1,238,0
TRINITY_DN26156_c0_g2_i1,244,0
TRINITY_DN26156_c0_g2_i1,250,0.125
TRINITY_DN26156_c0_g2_i1,253,0
TRINITY_DN26156_c0_g2_i1,544,0
TRINITY_DN26156_c0_g2_i1,1277,0
TRINITY_DN26345_c0_g1_i1,314,0
TRINITY_DN26345_c0_g1_i1,326,0.233333
TRINITY_DN26345_c0_g1_i1,327,0.4
TRINITY_DN26345_c0_g1_i1,345,0
TRINITY_DN26408_c0_g1_i1,128,0
TRINITY_DN26408_c0_g1_i1,239,0.125
TRINITY_DN26519_c0_g1_i1,463,0.325
TRINITY_DN26524_c0_g1_i1,271,0.125
TRINITY_DN26524_c0_g1_i1,951,0.4
TRINITY_DN26524_c0_g1_i1,1266,0.4
TRINITY_DN26544_c0_g1_i1,310,0.233333
TRINITY_DN26620_c0_g1_i1,213,0.125
TRINITY_DN26620_c0_g1_i1,239,0.4
TRINITY_DN26620_c0_g1_i1,288,0.233333
TRINITY_DN26620_c0_g1_i1,368,0
TRINITY_DN26620_c0_g1_i1,503,0.325
TRINITY_DN26620_c0_g1_i1,587,0
TRINITY_DN26620_c0_g1_i1,603,0
TRINITY_DN26637_c0_g1_i1,376,0.325
TRINITY_DN26804_c0_g1_i1,109,0.233333
TRINITY_DN26804_c0_g1_i1,201,0.233333
TRINITY_DN26804_c0_g1_i1,265,0.5
TRINITY_DN26804_c0_g1_i1,361,0.233333
TRINITY_DN27060_c0_g1_i1,212,0.125
TRINITY_DN27060_c0_g1_i1,520,0
TRINITY_DN27060_c0_g1_i1,616,0.125
TRINITY_DN27060_c0_g1_i1,859,0.125
TRINITY_DN27060_c0_g1_i1,873,0.125
TRINITY_DN27060_c0_g1_i1,895,0.233333
TRINITY_DN27151_c0_g1_i1,281,0.325
TRINITY_DN27233_c0_g1_i1,112,0
TRINITY_DN27233_c0_g1_i1,126,0.125
TRINITY_DN27233_c0_g1_i1,205,0
TRINITY_DN27233_c0_g1_i1,585,0.5
TRINITY_DN27233_c0_g1_i1,621,0.5
TRINITY_DN27233_c0_g1_i1,643,0.233333
TRINITY_DN27233_c0_g1_i1,691,0.325
TRINITY_DN27311_c0_g1_i1,283,0.325
TRINITY_DN27311_c0_g1_i1,360,0.325
TRINITY_DN27311_c0_g1_i1,411,0.325
TRINITY_DN27311_c0_g1_i1,422,0.325
TRINITY_DN27311_c0_g1_i1,480,0.525
TRINITY_DN27311_c0_g1_i1,689,0
TRINITY_DN27425_c0_g1_i1,224,0.533333
TRINITY_DN27425_c0_g1_i1,338,0.5
TRINITY_DN27425_c0_g1_i1,377,0.4
TRINITY_DN27425_c0_g1_i1,380,0
TRINITY_DN27495_c0_g1_i1,198,0.325
TRINITY_DN27495_c0_g1_i1,339,0
TRINITY_DN27495_c0_g1_i1,360,0.325
TRINITY_DN27495_c0_g1_i1,573,0.325
TRINITY_DN27591_c0_g1_i1,493,0.5
TRINITY_DN27591_c0_g1_i1,613,0
TRINITY_DN27591_c0_g1_i1,853,0.233333
TRINITY_DN27591_c0_g1_i1,1169,0
TRINITY_DN27591_c0_g1_i1,1315,0.233333
TRINITY_DN27591_c0_g1_i1,1319,0.5
TRINITY_DN27591_c0_g1_i1,1324,0.5
TRINITY_DN27591_c0_g1_i1,1325,0
TRINITY_DN27591_c0_g1_i1,1327,0.525
TRINITY_DN27591_c0_g1_i1,1333,0.525
TRINITY_DN27591_c0_g1_i1,1339,0
TRINITY_DN27591_c0_g1_i1,1362,0
TRINITY_DN27591_c0_g1_i1,1366,0.533333
TRINITY_DN27591_c0_g1_i1,1375,0
TRINITY_DN27591_c0_g1_i1,1376,0.533333
TRINITY_DN27591_c0_g1_i1,1377,0.533333
TRINITY_DN27591_c0_g1_i1,1378,0
TRINITY_DN27591_c0_g1_i1,1383,0
TRINITY_DN27591_c0_g1_i1,1390,0
TRINITY_DN27591_c0_g1_i1,1393,0
TRINITY_DN27591_c0_g1_i1,1399,0.533333
TRINITY_DN27591_c0_g1_i1,1402,0
TRINITY_DN27591_c0_g1_i1,1405,0.533333
TRINITY_DN27591_c0_g1_i1,1406,0.533333
TRINITY_DN27591_c0_g1_i1,1414,0.533333
TRINITY_DN27591_c0_g1_i1,1415,0.533333
TRINITY_DN27591_c0_g1_i1,1417,0.533333
TRINITY_DN27591_c0_g1_i1,1420,0.533333
TRINITY_DN27591_c0_g1_i1,1421,0.533333
TRINITY_DN27591_c0_g1_i1,1426,0.533333
TRINITY_DN27591_c0_g1_i1,1437,0.533333
TRINITY_DN27591_c0_g1_i1,1447,0.533333
TRINITY_DN27591_c0_g1_i1,1656,0.325
TRINITY_DN27591_c0_g1_i1,1769,0
TRINITY_DN27591_c0_g1_i1,1807,0
TRINITY_DN27591_c0_g1_i1,1974,0.325
TRINITY_DN27591_c0_g1_i1,2037,0.233333
TRINITY_DN27711_c0_g1_i1,251,0.125
TRINITY_DN27711_c0_g1_i1,264,0
TRINITY_DN27846_c0_g1_i1,26,0.325
TRINITY_DN27846_c0_g1_i1,87,0.325
TRINITY_DN27846_c0_g1_i1,95,0
TRINITY_DN27846_c0_g1_i1,144,0
TRINITY_DN27846_c0_g1_i1,329,0.325
TRINITY_DN27908_c0_g1_i1,552,0.458333
TRINITY_DN28182_c0_g1_i1,582,0.325
TRINITY_DN28217_c1_g1_i1,101,0.458333
TRINITY_DN28217_c1_g1_i1,221,0.5
TRINITY_DN28217_c1_g1_i1,437,0
TRINITY_DN28217_c1_g1_i1,439,0
TRINITY_DN28217_c1_g1_i1,440,0
